ID,content
100447,b'二、提示支行：在分行业务主管部门指导下，认真梳理所办业务不得与借款人办理定向保理核心客户...
100448,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2015年第171次贷款审...
100449,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2016年第14次贷款审批...
100450,b'提示支行：1、授信存续期内，如关联企业与我行有信贷合作意向，应根据情况纳入集团授信管理。...
100451,b'1、密切关注其国内贸易中对上游即时或短期内支付、但对下游支付期在6-9个月的交易行为，对...
100452,b'提示：1、关注企业资产负债比率的变化情况，及时进行合理性分析；2、关注或有负债变化，若发...
100453,b'提示：1.加强对国内信用证和贸易融资业务背景的真实性审查，关注内贸上游供应商实力及下游用...
100454,b'提示支行：1、开立专户归集各门店的经营收入，进一步提高客户在我行结算率；2、客户系食品加...
100455,b'提示：如偿还他行贷款，应确保原贷款用途为经营周转类，且有明确的还款来源。'
100456,b'提示支行：1.我行授信额度仅限用于支持该客户“以销定购”贸易模式下的日常经营周转，我行授...
100457,b'提示：1、流动资金贷款仅限于支持客户主营业务所需国内采购并进行跟单管理，其他产品调剂使用...
100458,b'提示：1、我行授信优先支持自营模式下以销定购业务；2、加强对其资金结算的监控，关注企业经...
100459,b'贸易融资业务应在国际部指导下严格审核贸易背景真实性，回款资金应全部在我行结算。'
100460,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100461,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100462,b'提示：1.我行授信仅限用于客户贸易采购，不得用于权益类投资和金融类业务。额度使用时应确保...
100463,b'提示1、单笔支用注意核查贸易背景，加强对销售回款的监管；2、持续关注企业资产负债率变化、...
100464,b'提示支行：该客户受到经济下行、需求减弱、钢铁行业产能过剩的影响，2014年收入和利润指标...
100465,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第99次贷款审批...
100466,b'提示：1、鉴于钢铁行业持续低迷，建议密切关注客户库存、实际资产负债率（剔除预收账款因素）...
100467,b'提示：1.加强银行承兑汇票贸易背景审核，关注下游账期和支付结算手段，控制回款在我行结算，...
100468,b'提示支行：1.贷款及贸易融资额度使用应采用跟单管理模式，重点支持以销定产，上下游锁定的商...
100469,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100470,b'提示：1、落实客户母公司提供的安慰函，文本应经分行法规部门审核；2、关注客户经营的大宗商...
100471,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行2017年第37次贷款审批...
100472,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2018年第81次贷款审...
100473,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2019年第209次贷款...
100474,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100475,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100476,b'你行经CLPM系统申报的业务编号为*****的审批事项，经***2020年第162次贷款...
100477,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
